# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 전월세 신고분 / 공공데이터포털(data.go.kr) 국토부 전월세 실거래가 OpenAPI 4종
# 신림동(서울 관악구)·망원동(서울 마포구) 실거래 표본 10건. 면적(평)=전용면적㎡÷3.3058 환산. 방·화장실 개수는 국토부 데이터에 없음.
지역(단지),건물유형,전용면적(㎡),면적(평),보증금(만원),월세(만원),전세/월세,건축년도,층,계약일
서울 관악구 신림동 신림푸르지오2차,아파트,84.8,25.65,47000,0,전세,2007,9,2026-05-07
서울 관악구 신림동 신림푸르지오2차,아파트,84.8,25.65,5000,123,월세,2007,6,2025-12-13
서울 관악구 신림동 삼성산주공,아파트,113.31,34.28,39000,0,전세,2000,20,2026-05-13
서울 관악구 신림동 삼성산주공,아파트,83.21,25.17,15000,100,월세,2000,4,2026-05-22
서울 관악구 신림동 신림현대,아파트,59.84,18.10,38000,0,전세,1993,비공개,2025-12-30
서울 관악구 신림동 신림현대,아파트(소형),34.86,10.55,2000,95,월세,1993,비공개,2026-01-02
서울 관악구 신림동 신림현대,아파트,59.0,17.85,10000,60,월세,1993,11,2025-06-01
서울 마포구 망원동 우정빌라,연립·다세대(빌라),42.33,12.80,20000,0,전세,1986,2,2025-03-24
서울 마포구 망원동 우정빌라,연립·다세대(빌라),42.33,12.80,1000,100,월세,1986,2,2025-03-15
서울 마포구 망원동 473-25 원룸,단독·다가구,13.53,4.09,1000,50,월세,비공개,비공개,2025-신고분
