# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
강원특별자치도,강릉시,월세,135㎡이상(40평~),2,4000,145,2007
강원특별자치도,강릉시,월세,40~60㎡(12~18평),255,2000,40,1999
강원특별자치도,강릉시,월세,40㎡미만(~12평),109,500,40,1997
강원특별자치도,강릉시,월세,60~85㎡(18~26평),72,2250,80,2005
강원특별자치도,강릉시,월세,85~135㎡(26~40평),3,20000,80,2021
강원특별자치도,강릉시,전세,135㎡이상(40평~),4,36750,0,2008
강원특별자치도,강릉시,전세,40~60㎡(12~18평),107,14000,0,1999
강원특별자치도,강릉시,전세,40㎡미만(~12평),38,7000,0,1996
강원특별자치도,강릉시,전세,60~85㎡(18~26평),135,24300,0,2019
강원특별자치도,강릉시,전세,85~135㎡(26~40평),24,50000,0,2024
강원특별자치도,고성군,월세,40~60㎡(12~18평),8,1000,60,2026
강원특별자치도,고성군,월세,40㎡미만(~12평),5,1000,40,1998
강원특별자치도,고성군,월세,60~85㎡(18~26평),15,2000,80,2021
강원특별자치도,고성군,월세,85~135㎡(26~40평),2,1650,87,2026
강원특별자치도,고성군,전세,40~60㎡(12~18평),12,14500,0,2026
강원특별자치도,고성군,전세,40㎡미만(~12평),1,6000,0,1998
강원특별자치도,고성군,전세,60~85㎡(18~26평),23,17000,0,2021
강원특별자치도,고성군,전세,85~135㎡(26~40평),1,32000,0,2026
강원특별자치도,동해시,월세,40~60㎡(12~18평),100,500,40,1996
강원특별자치도,동해시,월세,40㎡미만(~12평),31,300,35,1996
강원특별자치도,동해시,월세,60~85㎡(18~26평),40,2180,52,2013
강원특별자치도,동해시,월세,85~135㎡(26~40평),1,2000,80,2009
강원특별자치도,동해시,전세,40~60㎡(12~18평),182,6123,0,2000
강원특별자치도,동해시,전세,40㎡미만(~12평),10,5550,0,1991
강원특별자치도,동해시,전세,60~85㎡(18~26평),44,12773,0,2013
강원특별자치도,동해시,전세,85~135㎡(26~40평),1,17000,0,1996
강원특별자치도,삼척시,월세,40~60㎡(12~18평),40,1000,50,1999
강원특별자치도,삼척시,월세,40㎡미만(~12평),22,400,35,1996
강원특별자치도,삼척시,월세,60~85㎡(18~26평),14,3000,70,2015
강원특별자치도,삼척시,월세,85~135㎡(26~40평),1,5000,100,2024
강원특별자치도,삼척시,전세,40~60㎡(12~18평),6,11250,0,2011
강원특별자치도,삼척시,전세,40㎡미만(~12평),5,4200,0,1998
